governorate,bank,date,gender,sale_type,count
Amanat Al Asimah,NMF,2025-05-15,female,credit_sales,0.0
Amanat Al Asimah,NMF,2025-05-15,female,first_borrowers_only,0.0
Amanat Al Asimah,NMF,2025-05-15,male,cash_sales,72.0
Amanat Al Asimah,NMF,2025-05-15,male,credit_sales,0.0
Amanat Al Asimah,NMF,2025-05-15,male,first_borrowers_only,0.0
Amanat Al Asimah,TIIB,2025-05-15,female,cash_sales,0.0
Amanat Al Asimah,TIIB,2025-05-15,female,credit_sales,0.0
Amanat Al Asimah,TIIB,2025-05-15,female,first_borrowers_only,0.0
Amanat Al Asimah,TIIB,2025-05-15,male,cash_sales,0.0
Amanat Al Asimah,TIIB,2025-05-15,male,credit_sales,0.0
Amanat Al Asimah,TIIB,2025-05-15,male,first_borrowers_only,0.0
Amanat Al Asimah,YKB,2025-05-15,female,cash_sales,0.0
Amanat Al Asimah,YKB,2025-05-15,female,credit_sales,0.0
Amanat Al Asimah,YKB,2025-05-15,female,first_borrowers_only,0.0
Amanat Al Asimah,YKB,2025-05-15,male,cash_sales,0.0
Amanat Al Asimah,YKB,2025-05-15,male,credit_sales,0.0
Amanat Al Asimah,YKB,2025-05-15,male,first_borrowers_only,0.0
Amran,AMB,2025-05-15,female,cash_sales,749.0
Amran,AMB,2025-05-15,female,credit_sales,0.0
Amran,AMB,2025-05-15,female,first_borrowers_only,0.0
Amran,AMB,2025-05-15,male,cash_sales,3849.0
Amran,AMB,2025-05-15,male,credit_sales,0.0
Amran,AMB,2025-05-15,male,first_borrowers_only,0.0
Amran,AMP,2025-05-15,female,cash_sales,0.0
Amran,AMP,2025-05-15,female,credit_sales,0.0
Amran,AMP,2025-05-15,female,first_borrowers_only,0.0
Amran,AMP,2025-05-15,male,cash_sales,0.0
Amran,AMP,2025-05-15,male,credit_sales,0.0
Amran,AMP,2025-05-15,male,first_borrowers_only,0.0
Amran,Azal,2025-05-15,female,cash_sales,19.0
Amran,Azal,2025-05-15,female,credit_sales,0.0
Amran,Azal,2025-05-15,female,first_borrowers_only,0.0
Amran,Azal,2025-05-15,male,cash_sales,324.0
Amran,Azal,2025-05-15,male,credit_sales,6.0
Amran,Azal,2025-05-15,male,first_borrowers_only,0.0
Amran,KIMB,2025-05-15,female,cash_sales,0.0
Amran,KIMB,2025-05-15,female,credit_sales,
Amran,KIMB,2025-05-15,female,first_borrowers_only,
Amran,KIMB,2025-05-15,male,cash_sales,4.0
Amran,KIMB,2025-05-15,male,credit_sales,
Amran,KIMB,2025-05-15,male,first_borrowers_only,
Amran,NMF,2025-05-15,female,cash_sales,420.0
Amran,NMF,2025-05-15,female,credit_sales,0.0
Amran,NMF,2025-05-15,female,first_borrowers_only,0.0
Amran,NMF,2025-05-15,male,cash_sales,689.0
Amran,NMF,2025-05-15,male,credit_sales,0.0
Amran,NMF,2025-05-15,male,first_borrowers_only,0.0
Amran,TIIB,2025-05-15,female,cash_sales,0.0
Amran,TIIB,2025-05-15,female,credit_sales,0.0
Amran,TIIB,2025-05-15,female,first_borrowers_only,0.0
Amran,TIIB,2025-05-15,male,cash_sales,0.0
Amran,TIIB,2025-05-15,male,credit_sales,0.0
Amran,TIIB,2025-05-15,male,first_borrowers_only,0.0
Amran,YKB,2025-05-15,female,cash_sales,34.0
Amran,YKB,2025-05-15,female,credit_sales,0.0
Amran,YKB,2025-05-15,female,first_borrowers_only,0.0
Amran,YKB,2025-05-15,male,cash_sales,2.0
Amran,YKB,2025-05-15,male,credit_sales,0.0
Amran,YKB,2025-05-15,male,first_borrowers_only,0.0
Dhamar,AMB,2025-05-15,female,cash_sales,179.0
Dhamar,AMB,2025-05-15,female,credit_sales,0.0
Dhamar,AMB,2025-05-15,female,first_borrowers_only,0.0
Dhamar,AMB,2025-05-15,male,cash_sales,4161.0
Dhamar,AMB,2025-05-15,male,credit_sales,0.0
Dhamar,AMB,2025-05-15,male,first_borrowers_only,0.0
Dhamar,AMP,2025-05-15,female,cash_sales,0.0
Dhamar,AMP,2025-05-15,female,credit_sales,0.0
Dhamar,AMP,2025-05-15,female,first_borrowers_only,0.0
Dhamar,AMP,2025-05-15,male,cash_sales,0.0
Dhamar,AMP,2025-05-15,male,credit_sales,0.0
Dhamar,AMP,2025-05-15,male,first_borrowers_only,0.0
Dhamar,Azal,2025-05-15,female,cash_sales,42.0
Dhamar,Azal,2025-05-15,female,credit_sales,0.0
Dhamar,Azal,2025-05-15,female,first_borrowers_only,0.0
Dhamar,Azal,2025-05-15,male,cash_sales,882.0
Dhamar,Azal,2025-05-15,male,credit_sales,27.0
Dhamar,Azal,2025-05-15,male,first_borrowers_only,0.0
Dhamar,KIMB,2025-05-15,female,cash_sales,36.0
Dhamar,KIMB,2025-05-15,female,credit_sales,
Dhamar,KIMB,2025-05-15,female,first_borrowers_only,
Dhamar,KIMB,2025-05-15,male,cash_sales,666.0
Dhamar,KIMB,2025-05-15,male,credit_sales,
Dhamar,KIMB,2025-05-15,male,first_borrowers_only,
Dhamar,NMF,2025-05-15,female,cash_sales,1758.0
